ID,ExpType,PatternDetected,TrialTime,CollisionCount,TotalPathLength,TimeIntervals_s,ErrorStart_Timeline_s,ErrorStart_Z_m
s4,Haptic Thermal,True,103.755,15,104.620.140;1.320;0.280;2.580;2.240;1.640;0.080;0.580;0.980;0.440;0.940;0.340;0.600;0.620;0.260,1.460;19.620;39.401;40.841;46.001;49.561;52.921;69.300;72.600;75.279;86.977;89.097;98.216;101.475;103.495,0.837;13.634;36.798;38.564;44.907;48.843;52.035;67.861;71.316;73.934;82.599;83.956;93.826;97.554;99.480
s4,No Haptic,True,99.695,13,104.755.800;0.740;1.140;1.000;1.460;0.600;0.940;0.300;1.200;0.220;0.360;0.460;0.880,0.020;19.740;25.660;28.580;33.701;38.721;50.701;54.541;63.361;68.001;69.620;78.499;97.116,0.256;13.386;18.920;21.666;26.810;31.643;45.484;49.934;61.908;67.905;69.955;79.174;97.476
s11,Haptic Thermal,True,81.978,18,103.54,4.420;1.720;0.040;2.640;6.560;4.620;2.920;1.360;0.940;2.480;4.100;0.280;1.560;2.920;2.260;2.240;3.180;2.760,0.040;6.640;9.100;9.940;12.880;20.140;26.260;29.720;39.801;41.681;46.101;51.821;55.621;65.141;68.980;72.160;75.399;79.219,0.279;6.742;9.991;11.071;14.550;23.086;29.966;34.790;47.006;49.345;54.990;61.929;66.735;78.885;83.658;87.516;91.843;96.599
s11,Haptic No Thermal,True,84.118,22,103.48,1.160;1.280;0.340;2.240;3.720;3.520;1.540;2.340;2.860;3.520;2.080;0.400;1.160;1.380;0.460;0.700;3.000;2.780;3.100;2.180;1.220;0.100,1.060;3.200;9.240;12.500;15.340;20.340;25.380;28.500;37.761;41.041;45.501;50.181;51.061;53.961;56.581;59.481;63.681;67.481;71.200;75.679;79.339;82.458,0.974;2.841;9.735;13.779;17.222;23.342;29.144;33.014;45.059;49.457;55.707;61.852;63.013;66.701;69.937;73.564;78.669;83.258;87.084;91.734;94.971;98.033
s11,No Haptic,True,80.778,21,103.82,2.380;1.020;1.460;1.300;1.340;2.860;0.140;2.260;1.060;1.020;1.000;0.980;0.800;2.800;0.500;0.940;2.760;1.960;2.740;3.220;2.660,0.620;10.080;13.340;16.220;23.720;26.780;30.961;32.841;39.421;41.061;42.621;44.341;47.301;50.601;55.441;57.021;63.281;66.881;69.420;72.940;76.519,0.690;11.486;15.500;19.433;28.152;32.472;37.971;40.596;48.866;51.197;53.152;55.506;59.239;63.812;69.619;71.489;79.170;83.925;86.955;91.530;95.099
s5,Haptic Thermal,True,162.418,22,109.92,6.160;0.700;0.820;2.260;1.920;0.840;1.580;1.260;0.860;0.460;0.780;0.540;1.420;0.080;3.360;3.000;1.180;2.400;1.720;1.700;1.020;1.600,0.020;11.460;25.520;29.160;34.621;44.481;47.761;52.481;60.961;65.701;69.480;79.799;82.758;90.557;91.577;112.593;120.192;125.231;134.452;139.513;144.074;160.818,0.268;3.450;11.489;13.439;16.495;21.670;23.672;27.292;33.429;35.886;38.735;46.078;48.120;52.002;52.782;68.438;73.997;77.330;83.331;86.845;88.636;98.701
s5,No Haptic,True,143.754,21,108.17,4.780;1.320;1.600;0.880;1.100;0.680;1.300;1.560;0.820;1.140;2.860;1.220;1.000;0.800;1.020;0.540;0.760;3.220;2.120;1.300;0.020,0.020;8.260;10.920;21.560;34.001;36.921;44.561;49.981;54.921;56.961;67.061;72.060;83.198;93.296;100.975;111.873;119.032;123.351;127.291;140.893;143.734,0.265;2.845;4.386;9.844;16.290;17.433;21.434;24.626;27.580;28.888;35.668;39.182;49.526;57.145;63.925;72.800;79.025;82.947;87.190;97.697;99.748
s5,Haptic No Thermal,True,117.132,23,107.14,4.740;1.500;0.860;0.780;1.600;1.420;0.660;1.300;1.860;0.880;0.060;0.200;1.900;1.440;3.080;1.100;1.280;1.560;2.480;0.080;0.880;0.280;0.080,0.020;5.900;10.480;16.960;24.800;28.240;31.061;34.861;38.381;41.621;54.321;63.401;64.981;69.340;71.920;78.459;82.018;84.538;91.117;97.416;101.895;108.874;117.052,0.261;2.678;5.455;10.042;17.009;19.341;21.870;25.661;28.321;31.369;44.777;53.883;55.442;58.976;60.886;66.336;69.077;71.254;77.289;81.973;86.218;92.207;99.670
s8,Haptic No Thermal,True,123.151,19,106.67,1.140;3.640;3.420;1.260;2.100;2.580;2.420;1.960;3.300;7.160;4.000;2.200;2.780;1.660;3.180;1.760;3.620;0.080;0.680,14.060;18.820;24.680;30.201;36.121;41.041;45.541;51.521;65.661;70.360;78.879;84.858;89.617;101.815;105.194;110.534;114.673;119.652;121.012,9.447;12.517;16.533;20.139;24.651;28.584;32.069;36.945;49.182;53.713;60.866;65.110;68.800;79.039;82.214;86.741;90.470;95.919;97.473
s8,Haptic Thermal,True,147.255,23,112.38,4.280;1.640;2.060;2.340;1.960;1.480;3.700;2.980;1.140;1.120;3.180;7.120;2.000;0.860;11.400;5.340;2.740;4.980;1.800;0.920;3.840;29.500;1.760,0.040;11.120;15.740;22.060;25.720;28.800;31.821;39.081;44.501;48.681;50.321;53.901;64.061;67.401;69.120;83.738;89.497;95.836;102.315;106.474;109.614;114.313;145.494,0.274;5.431;9.121;14.232;17.116;19.274;21.750;28.375;32.555;35.494;36.680;39.633;48.921;51.725;53.180;62.396;65.015;69.060;75.352;79.548;82.691;86.874;98.289
